Human_Symbol,Human_Entrez,resolved_ensembl_gene_id,disease_id,disease_name,association_score,datatypeScores_json,datasourceScores_json
EEF1B2,1933,ENSG00000114942,EFO_0005772,neurodegenerative disease,0.47074626978759804,"[{""id"":""affected_pathway"",""score"":0.7743418685761929}]","[{""id"":""crispr_screen"",""score"":0.7743418685761929}]"
EEF1B2,1933,ENSG00000114942,HP_0001263,Global developmental delay,0.42501683288740705,"[{""id"":""genetic_association"",""score"":0.6991204172533643}]","[{""id"":""eva"",""score"":0.6991204172533643}]"
EEF1B2,1933,ENSG00000114942,MONDO_0019502,autosomal recessive non-syndromic intellectual disability,0.4157773365202895,"[{""id"":""genetic_association"",""score"":0.607930797611621},{""id"":""genetic_literature"",""score"":0.3039653988058105}]","[{""id"":""orphanet"",""score"":0.607930797611621},{""id"":""genomics_england"",""score"":0.3039653988058105}]"
EEF1B2,1933,ENSG00000114942,HP_0001249,Intellectual disability,0.3427383446375089,"[{""id"":""literature"",""score"":0.0896443588082222},{""id"":""genetic_association"",""score"":0.5592963338026914}]","[{""id"":""eva"",""score"":0.5592963338026914},{""id"":""europepmc"",""score"":0.0896443588082222}]"
EEF1B2,1933,ENSG00000114942,HP_0001250,Seizure,0.3400134663099256,"[{""id"":""genetic_association"",""score"":0.5592963338026914}]","[{""id"":""eva"",""score"":0.5592963338026914}]"
EEF1B2,1933,ENSG00000114942,HP_0011343,Moderate global developmental delay,0.3400134663099256,"[{""id"":""genetic_association"",""score"":0.5592963338026914}]","[{""id"":""eva"",""score"":0.5592963338026914}]"
EEF1B2,1933,ENSG00000114942,HP_0000924,Abnormality of the skeletal system,0.33397035317069174,"[{""id"":""genetic_association"",""score"":0.5493558715609765}]","[{""id"":""gwas_credible_sets"",""score"":0.5493558715609765}]"
EEF1B2,1933,ENSG00000114942,EFO_0000508,genetic disorder,0.1863860202116849,"[{""id"":""genetic_association"",""score"":0.3065908503795827}]","[{""id"":""eva"",""score"":0.3065908503795827}]"
EEF1B2,1933,ENSG00000114942,EFO_0003888,attention deficit hyperactivity disorder,0.09542223332532615,"[{""id"":""animal_model"",""score"":0.7848116405700424}]","[{""id"":""impc"",""score"":0.7848116405700424}]"
EEF1B2,1933,ENSG00000114942,MONDO_0100518,hereditary attention deficit-hyperactivity disorder,0.0831554673040579,"[{""id"":""animal_model"",""score"":0.6839221473130737}]","[{""id"":""impc"",""score"":0.6839221473130737}]"
ALG1,56052,ENSG00000033011,MONDO_0012052,ALG1-congenital disorder of glycosylation,0.8570259395647658,"[{""id"":""genetic_association"",""score"":0.9416393713663467},{""id"":""genetic_literature"",""score"":0.838430141689499}]","[{""id"":""uniprot_variants"",""score"":0.9779019396789099},{""id"":""eva"",""score"":0.9449040197848606},{""id"":""genomics_england"",""score"":0.9360722249447112},{""id"":""gene2phenotype"",""score"":0.607930797611621},{""id"":""uniprot_literature"",""score"":0.607930797611621},{""id"":""orphanet"",""score"":0.607930797611621},{""id"":""clingen"",""score"":0.607930797611621}]"
ALG1,56052,ENSG00000033011,MONDO_0015286,congenital disorder of glycosylation,0.6129959138423166,"[{""id"":""literature"",""score"":0.11170206288676812},{""id"":""genetic_association"",""score"":0.8538667641224524},{""id"":""genetic_literature"",""score"":0.607930797611621}]","[{""id"":""eva"",""score"":0.8538667641224524},{""id"":""gene2phenotype"",""score"":0.607930797611621},{""id"":""europepmc"",""score"":0.11170206288676812}]"
