target,pdb_id,used_mode
VCP,8A67,basic
VCP,7NBB,basic
SARS,6WAQ,basic
SARS,8GZ6,basic
SARS,6WAR,basic
SARS,7KN5,basic
SARS,8IDI,basic
SARS,7B18,basic
SARS,8Q7S,basic
SARS,7KN6,basic
SARS,7KN7,basic
SARS,8ZRD,basic
SARS,7KKJ,basic
SARS,8IDM,basic
SARS,8IEE,basic
SARS,6Z43,basic
SARS,7FG2,basic
SARS,8GZ5,basic
SARS,8IDO,basic
SARS,8IFN,basic
SARS,9IQP,basic
SARS,8CWU,basic
SARS,7ON5,basic
SARS,7FG3,basic
SARS,7Q3R,basic
SARS,7Q3Q,basic
SARS,8Q95,basic
SARS,9TH6,basic
SARS,8Q93,basic
SARS,8Q94,basic
SARS,8CWV,basic
SARS,7N0R,basic
SARS,7C8W,basic
SARS,7C8V,basic
SARS,7OLZ,basic
SARS,7R98,basic
SARS,7VNB,basic
SARS,8G72,basic
SARS,7KKK,basic
SARS,7KKL,basic
SARS,7MFV,basic
SARS,7CAN,basic
SARS,7D2Z,basic
SARS,7N0I,basic
SARS,8SK5,basic
SARS,7D30,basic
SARS,7VNC,basic
SARS,7VND,basic
SARS,7VNE,basic
SARS,7X4I,basic
SARS,8WCG,basic
SARS,7KLW,basic
SARS,9FR4,basic
SARS,8H91,basic
SARS,9FCM,basic
SARS,7KGJ,basic
SARS,7KGK,basic
SARS,7MFU,basic
SARS,8K3K,basic
SARS,8ZER,basic
SARS,8XK2,basic
SARS,7VPY,basic
SARS,7F5H,basic
SARS,8ZES,basic
SARS,8CYJ,basic
SARS,7VQ0,basic
SARS,9FR3,basic
SARS,7OAY,basic
SARS,7RBY,basic
SARS,7B17,basic
SARS,8JYS,basic
SARS,7ME7,basic
SARS,7MEJ,basic
SARS,7Z1A,basic
SARS,7Z1B,basic
SARS,7Z1C,basic
SARS,9RN6,basic
SARS,7W1S,basic
SARS,7B27,basic
SARS,7OAP,basic
SARS,7F5G,basic
SARS,7NLL,basic
SARS,8DT8,basic
SARS,8EYH,basic
SARS,8F4P,basic
SARS,7KM5,basic
SARS,8H5U,basic
SARS,8RBY,basic
SARS,7JVB,basic
SARS,8RJ7,basic
SARS,7OAO,basic
SARS,8OWT,basic
SARS,8XKI,basic
SARS,8H5T,basic
SARS,7X2L,basic
SARS,7Z1D,basic
SARS,8BGG,basic
SARS,7Y0O,basic
SARS,6ZXN,basic
SARS,8K45,basic
SARS,8K46,basic
SARS,8K47,basic
SARS,6Z2M,basic
SARS,7TPR,basic
SARS,8W4F,basic
SARS,7WHI,basic
SARS,7WHJ,basic
SARS,7WHK,basic
SARS,7B14,basic
SARS,7XRP,basic
SARS,7Z6V,basic
SARS,7Z7X,basic
SARS,7Z85,basic
SARS,7Z86,basic
SARS,7Z9Q,basic
SARS,7Z9R,basic
SARS,8ELO,basic
SARS,8ELP,basic
SARS,8ELQ,basic
SARS,8G79,basic
SARS,7NKT,basic
SARS,8OWW,basic
SARS,7N9A,basic
SARS,7N0G,basic
SARS,7N0H,basic
SARS,8CXQ,basic
SARS,8CY6,basic
SARS,8CY9,basic
SARS,8CYC,basic
SARS,8CYD,basic
SARS,7OAU,basic
SARS,7Y0N,basic
SARS,6YZ7,basic
SARS,6YZ5,basic
SARS,7N9B,basic
SARS,8R80,basic
SARS,9FC2,basic
SARS,9CO7,basic
SARS,9CO9,basic
SARS,7FG7,basic
SARS,7LDJ,basic
SARS,7N9T,basic
SARS,8EYG,basic
SARS,7LX5,basic
SARS,8BEV,basic
SARS,7NS6,basic
SARS,8CXN,basic
SARS,8CY7,basic
SARS,8CYA,basic
SARS,8JVA,basic
SARS,7N9E,basic
SARS,7MY2,basic
SARS,7MY3,basic
SARS,7N9C,basic
SARS,7OAN,basic
SARS,7R4I,basic
SARS,7R4Q,basic
SARS,7R4R,basic
SARS,8OYT,basic
SARS,8OYU,basic
SARS,6ZH9,basic
