Yeast_ORF,Human_ENSP,Human_Entrez,Human_Symbol,Human_GeneDescription,Final CompStatus,Final ToxStatus,Tet-down CompStatus,TS CompStatus,MM CompStatus,Tetrad CompStatus,Assay CompStatus,Lit CompStatus,Literature PMID,resolved_ensembl_gene_id,mapping_status,opentargets_status,ot_n_associated_diseases_total,ot_top_diseases,ot_top_datatypes,ot_top_datasources,disease_relevance_paragraph,opentargets_target_url,mapping_source_url,subcellular_localisation,opentargets_query_ok,notes
YAL003W,ENSP00000236957,1933,EEF1B2,eukaryotic translation elongation factor 1 beta 2,Complement,Toxic,Complement,,Complement,,Complement,,,ENSG00000114942,OK,OK,102.0,neurodegenerative disease (0.471); Global developmental delay (0.425); autosomal recessive non-syndromic intellectual disability (0.416),genetic_association (1.307); affected_pathway (0.774),crispr_screen (0.774); eva (0.699),EEF1B2 shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.471) and Global developmental delay (score 0.425). Evidence is driven primarily by genetic_association and affected_pathway. Top contributing sources include crispr_screen and eva.,https://platform.opentargets.org/target/ENSG00000114942,https://mygene.info/v3/gene/1933,nucleus; cytoplasm; endoplasmic reticulum; cytosol; eukaryotic translation elongation factor 1 complex,True,
YBR110W,ENSP00000262374,56052,ALG1,"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase",Complement,,,Complement,Complement,Complement,Complement,Complement,"14709599, 14973778, 10704531",ENSG00000033011,OK,OK,393.0,ALG1-congenital disorder of glycosylation (0.857); congenital disorder of glycosylation (0.613); neurodegenerative disease (0.538),genetic_association (1.796); genetic_literature (1.446),eva (1.799); gene2phenotype (1.216),ALG1 shows the strongest Open Targets disease associations with ALG1-congenital disorder of glycosylation (score 0.857) and congenital disorder of glycosylation (score 0.613). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include eva and gene2phenotype.,https://platform.opentargets.org/target/ENSG00000033011,https://mygene.info/v3/gene/56052,endoplasmic reticulum; endoplasmic reticulum membrane; membrane; cytoplasmic side of endoplasmic reticulum membrane,True,
YBR154C,ENSP00000464739,5434,POLR2E,"polymerase (RNA) II (DNA directed) polypeptide E, 25kDa",Complement,,,Complement,Non complement,,Complement,Non complement,8524256,ENSG00000099817,OK,OK,49.0,HIV infection (0.600); neurodegenerative disease (0.461); influenza (0.370),affected_pathway (2.353),reactome (1.595); crispr_screen (0.758),POLR2E shows the strongest Open Targets disease associations with HIV infection (score 0.600) and neurodegenerative disease (score 0.461). Evidence is driven primarily by affected_pathway. Top contributing sources include reactome and crispr_screen.,https://platform.opentargets.org/target/ENSG00000099817,https://mygene.info/v3/gene/5434,"DNA-directed RNA polymerase complex; nucleus; nucleoplasm; RNA polymerase II, core complex; RNA polymerase III complex",True,
YBR155W,ENSP00000360329,7268,TTC4,tetratricopeptide repeat domain 4,Complement,,Complement,Complement,Non complement,,Complement,,,ENSG00000243725,OK,OK,31.0,neurodegenerative disease (0.526); endocarditis (0.298); anal neoplasm (0.049),affected_pathway (0.865); genetic_association (0.570),crispr_screen (0.865); gwas_credible_sets (0.570),TTC4 shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.526) and endocarditis (score 0.298). Evidence is driven primarily by affected_pathway and genetic_association. Top contributing sources include crispr_screen and gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000243725,https://mygene.info/v3/gene/7268,nucleus; nucleoplasm; cytoplasm; intermediate filament cytoskeleton,True,
YBR243C,ENSP00000386597,1798,DPAGT1,dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase),Complement,,Complement,,Complement,Complement,Complement,,,ENSG00000172269,OK,OK,98.0,DPAGT1-congenital disorder of glycosylation (0.810); Congenital myasthenic syndromes (0.798); neurodegenerative disease (0.523),genetic_association (1.747); genetic_literature (1.722),genomics_england (1.889); eva (1.830),DPAGT1 shows the strongest Open Targets disease associations with DPAGT1-congenital disorder of glycosylation (score 0.810) and Congenital myasthenic syndromes (score 0.798). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include genomics_england and eva.,https://platform.opentargets.org/target/ENSG00000172269,https://mygene.info/v3/gene/1798,endoplasmic reticulum membrane; Golgi apparatus; membrane; intracellular membrane-bounded organelle,True,
YBR247C,ENSP00000230340,705,BYSL,bystin-like,Complement,,,Complement,,,Complement,,,ENSG00000112578,OK,OK,49.0,neurodegenerative disease (0.393); glioma (0.084); cancer (0.080),literature (1.346); affected_pathway (0.646),europepmc (1.346); crispr_screen (0.646),BYSL shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.393) and glioma (score 0.084). Evidence is driven primarily by literature and affected_pathway. Top contributing sources include europepmc and crispr_screen.,https://platform.opentargets.org/target/ENSG00000112578,https://mygene.info/v3/gene/705,nucleoplasm; chromosome; nucleolus; cytoplasm; cytosol,True,
YBR252W,ENSP00000370376,1854,DUT,deoxyuridine triphosphatase,Complement,,,,Complement,Complement,Complement,,,ENSG00000128951,OK,OK,135.0,bone marrow failure and diabetes mellitus syndrome (0.580); neurodegenerative disease (0.546); benign neoplasm of eye (0.233),affected_pathway (0.897); genetic_association (0.891),crispr_screen (0.897); genomics_england (0.827),DUT shows the strongest Open Targets disease associations with bone marrow failure and diabetes mellitus syndrome (score 0.580) and neurodegenerative disease (score 0.546). Evidence is driven primarily by affected_pathway and genetic_association. Top contributing sources include crispr_screen and genomics_england.,https://platform.opentargets.org/target/ENSG00000128951,https://mygene.info/v3/gene/1854,nucleus; nucleoplasm; mitochondrion; extracellular exosome,True,
YBR254C,ENSP00000392495,10597,TRAPPC2B,trafficking protein particle complex 2B,Complement,,Complement,,Complement,,Complement,Complement,14597397,ENSG00000256060,OK,OK,67.0,Fuchs endothelial corneal dystrophy (0.052); congenital hereditary endothelial dystrophy of cornea (0.050); benign neoplasm of eye (0.045),animal_model (0.838); genetic_association (0.075),impc (0.838); gwas_credible_sets (0.075),TRAPPC2B shows the strongest Open Targets disease associations with Fuchs endothelial corneal dystrophy (score 0.052) and congenital hereditary endothelial dystrophy of cornea (score 0.050). Evidence is driven primarily by animal_model and genetic_association. Top contributing sources include impc and gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000256060,https://mygene.info/v3/gene/10597,nucleus; nuclear outer membrane; cytoplasm; endoplasmic reticulum; endoplasmic reticulum-Golgi intermediate compartment,True,
YBR257W,ENSP00000465213,10775,POP4,"processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)",Complement,,Complement,,Non complement,,Complement,,,ENSG00000105171,OK,OK,34.0,neurodegenerative disease (0.462); Ovarian Endometriosis (0.095); endometriosis (0.093),affected_pathway (0.760); genetic_association (0.308),crispr_screen (0.760); gwas_credible_sets (0.308),POP4 shows the strongest Open Targets disease associations with neurodegenerative disease (score 0.462) and Ovarian Endometriosis (score 0.095). Evidence is driven primarily by affected_pathway and genetic_association. Top contributing sources include crispr_screen and gwas_credible_sets.,https://platform.opentargets.org/target/ENSG00000105171,https://mygene.info/v3/gene/10775,ribonuclease MRP complex; nucleus; nucleoplasm; nucleolar ribonuclease P complex; nucleolus,True,
YBR265W,ENSP00000385083,2531,KDSR,3-ketodihydrosphingosine reductase,Complement,,,Complement,Complement,,Complement,Complement,15328338,ENSG00000119537,OK,OK,136.0,erythrokeratodermia variabilis et progressiva 4 (0.782); erythrokeratodermia variabilis (0.464); prostate carcinoma (0.450),genetic_association (2.320); genetic_literature (0.768),uniprot_variants (0.919); genomics_england (0.865),KDSR shows the strongest Open Targets disease associations with erythrokeratodermia variabilis et progressiva 4 (score 0.782) and erythrokeratodermia variabilis (score 0.464). Evidence is driven primarily by genetic_association and genetic_literature. Top contributing sources include uniprot_variants and genomics_england.,https://platform.opentargets.org/target/ENSG00000119537,https://mygene.info/v3/gene/2531,extracellular space; endoplasmic reticulum; endoplasmic reticulum membrane; membrane; cytoplasmic side of endoplasmic reticulum membrane,True,
