node_id,node_type,label,query__1A4R,query__1E51,query__1F8A,query__1FB1,query__1HTI,query__1HVY,query__1LDJ,query__1OU5,query__1P9O,query__1Q5H,query__1Z5S,query__2J91,query__2OJW,query__2R3V,query__2VE7,query__2WFD,query__3BJU,query__3D4J,query__3ECR,query__3JUS,query__3R2W,query__3S4Y,query__3VBB,query__4JSN,query__4R3Z,query__6C90,query__6GWJ,query__6HKW,reference__1BVL-ASU0-VH_C-VL_D-Ag_A_B,reference__1CT8-ASU0-VH_B-VL_A-Ag_C_D,reference__1MWA-ASU0-VH_B-VL_A-Ag_H_I_P,reference__2IAM-ASU0-VH_D-VL_C-Ag_A_B_P,reference__2OTU-ASU0-VH_D-VL_C-Ag_G_H_Q,reference__3G6J-ASU0-VH_H-VL_G-Ag_C_D,reference__3H3B-ASU0-VH_D-VL_D-Ag_A_B,reference__3LRS-ASU0-VH_E-VL_F-Ag_A_B_C_D,reference__3STB-ASU0-VHH_A-Ag_C_D,reference__3STB-ASU0-VHH_B-Ag_C_D,reference__3ZHD-ASU1-VHH_F-Ag_A_B,reference__4C56-ASU0-VH_H-VL_G-Ag_E_I_K,reference__4DK3-ASU0-VHH_A-Ag_C_D,reference__4DK6-ASU0-VHH_B-Ag_C_D,reference__4DKF-ASU0-VH_H-VL_L-Ag_A_B,reference__4DKF-ASU0-VH_I-VL_M-Ag_A_B,reference__4KRM-ASU0-VHH_D-Ag_C_E,reference__4KRM-ASU0-VHH_L-Ag_I_K,reference__4MAY-ASU0-VH_D-VL_C-Ag_A_B,reference__4PLK-ASU0-VH_D-VL_C-Ag_A_B,reference__4PLK-ASU0-VH_H-VL_L-Ag_A_B,reference__4XVU-ASU0-VH_I-VL_J-Ag_G_H,reference__4XVU-ASU0-VH_K-VL_L-Ag_G_H,reference__5BOP-ASU0-VHH_A-Ag_B_D,reference__5BOP-ASU0-VHH_C-Ag_B_D,reference__5OCL-ASU0-VHH_G-Ag_F_H,reference__5OVW-ASU0-VHH_G-Ag_A_C,reference__5OVW-ASU0-VHH_J-Ag_B_D,reference__5TD8-ASU0-VHH_E-Ag_A_C,reference__5UDD-ASU0-VH_J-VL_P-Ag_A_E,reference__6BPE-ASU0-VH_B-VL_C-Ag_A_D,reference__6DO1-ASU0-VHH_E-Ag_A_B_C,reference__6GKD-ASU0-VHH_G-Ag_F_T,reference__6GKD-ASU0-VHH_H-Ag_F_I_M,reference__6GKD-ASU0-VHH_T-Ag_F_P_R,reference__6OAO-ASU0-VH_J-VL_J-Ag_I_K,reference__6OL7-ASU0-VH_C-VL_B-Ag_D_E,reference__6OL7-ASU0-VH_K-VL_J-Ag_F_I,reference__6SGE-ASU0-VHH_B-Ag_A_C,reference__6SGE-ASU0-VHH_D-Ag_A_C,reference__6TYL-ASU0-VHH_D-Ag_A_F,reference__6TYL-ASU0-VHH_I-Ag_A_F,reference__6V7Z-ASU0-VHH_F-Ag_A_B_C,reference__6X04-ASU0-VHH_F-Ag_B_E_K,reference__6X04-ASU0-VHH_L-Ag_E_H_K,reference__7E9G-ASU0-VHH_E-Ag_R_S,reference__7EO4-ASU0-VH_E-VL_E-Ag_B_C,reference__7F1O-ASU0-VHH_E-Ag_A_B,reference__7K7H-ASU0-VH_H-VL_L-Ag_A_C,reference__7K7I-ASU0-VH_J-VL_K-Ag_B_E,reference__7K7I-ASU0-VH_M-VL_N-Ag_A_C,reference__7K7I-ASU0-VH_P-VL_Q-Ag_C_D,reference__7KI1-ASU0-VHH_N-Ag_A_B,reference__7KQY-ASU0-VHH_A-Ag_B_D,reference__7LJB-ASU0-VH_E-VL_D-Ag_A_B,reference__7LJB-ASU0-VH_G-VL_F-Ag_A_B,reference__7M7E-ASU0-VH_C-VL_D-Ag_A_B,reference__7M7G-ASU0-VH_C-VL_D-Ag_A_B_E_F,reference__7N0I-ASU0-VHH_J-Ag_C_D,reference__7QHA-ASU0-VHH_C-Ag_A_B,reference__7SAJ-ASU0-VHH_J-Ag_E_I,reference__7T0W-ASU0-VH_G-VL_F-Ag_A_B,reference__7T0Z-ASU0-VH_H-VL_L-Ag_D_E,reference__7WU9-ASU0-VH_S-VL_S-Ag_A_B,reference__8CAF-ASU0-VH_B-VL_A-Ag_F_H,reference__8CAF-ASU0-VH_D-VL_C-Ag_E_G,reference__8DJK-ASU0-VH_H-VL_L-Ag_A_B,reference__8DJM-ASU0-VH_H-VL_L-Ag_A_B,reference__8G2Y-ASU0-VHH_N-Ag_A_B,reference__8H64-ASU0-VHH_D-Ag_C_E,reference__8H64-ASU0-VHH_H-Ag_A_G,reference__8I7W-ASU0-VH_E-VL_E-Ag_B_C,reference__8IM1-ASU0-VHH_H-Ag_C_G,reference__8J7U-ASU0-VH_E-VL_C-Ag_A_B,reference__8J7U-ASU0-VH_F-VL_D-Ag_A_B,reference__8J7V-ASU0-VH_E-VL_C-Ag_A_B,reference__8J7V-ASU0-VH_F-VL_D-Ag_A_B,reference__8J7W-ASU0-VH_E-VL_C-Ag_A_B,reference__8J7W-ASU0-VH_F-VL_D-Ag_A_B,reference__8J80-ASU0-VH_E-VL_C-Ag_A_B,reference__8OQ3-ASU0-VHH_C-Ag_A_D,reference__8PMX-ASU0-VH_H-VL_L-Ag_A_B,reference__8RTF-ASU0-VHH_G-Ag_A_B,reference__8RTF-ASU0-VHH_I-Ag_C_D,reference__8RTF-ASU0-VHH_J-Ag_C_D,reference__8RTF-ASU2-VHH_G-Ag_A_F,reference__8RTF-ASU2-VHH_K-Ag_C_E,reference__8RVR-ASU0-VHH_G-Ag_A_B,reference__8RVR-ASU0-VHH_H-Ag_A_B,reference__8RVR-ASU0-VHH_I-Ag_C_D,reference__8RVR-ASU0-VHH_J-Ag_C_D,reference__8SFZ-ASU0-VHH_B-Ag_D_F,reference__8TEA-ASU0-VH_F-VL_I-Ag_C_D,reference__8TJN-ASU0-VH_C-VL_D-Ag_A_B_E_F,reference__8TJN-ASU0-VH_E-VL_F-Ag_A_B_C_D,reference__8TME-ASU0-VH_H-VL_L-Ag_A_B,reference__8TMH-ASU0-VH_F-VL_G-Ag_A_B,reference__8TMQ-ASU0-VH_H-VL_L-Ag_A_B,reference__8UIO-ASU0-VH_H-VL_L-Ag_A_B,reference__8W5F-ASU0-VH_H-VL_L-Ag_C_c,reference__8Y62-ASU0-VH_E-VL_E-Ag_A_B,reference__8YJ7-ASU0-VH_E-VL_E-Ag_B_C,reference__8ZBI-ASU0-VH_F-VL_F-Ag_B_C,reference__8ZRE-ASU0-VH_h-VL_l-Ag_A_B,reference__9BIF-ASU0-VH_G-VL_I-Ag_E_F,reference__9BIF-ASU0-VH_J-VL_K-Ag_E_F,reference__9C24-ASU0-VH_A-VL_B-Ag_C_D,reference__9C24-ASU0-VH_H-VL_L-Ag_C_D,reference__9E3L-ASU0-VH_G-VL_H-Ag_E_F,reference__9E7L-ASU0-VHH_S-Ag_G_T,reference__9G4E-ASU0-VH_C-VL_D-Ag_A_B,reference__9I5E-ASU0-VHH_N-Ag_A_B,reference__9JKS-ASU0-VH_S-VL_S-Ag_B_C,reference__9MGB-ASU0-VH_k-VL_k-Ag_J_L,reference__9PC6-ASU0-VH_J-VL_I-Ag_A_B_K_L,reference__9PXU-ASU0-VHH_K-Ag_H_L
query__1A4R,query_target,1A4R,1.00000,0.61250,0.00000,0.46030,0.54520,0.00000,0.41340,0.42910,0.00000,0.00000,0.42190,0.37760,0.39290,0.00000,0.00000,0.37320,0.43630,0.34230,0.00000,0.36600,0.00000,0.00000,0.33780,0.00000,0.48710,0.00000,0.64660,0.40500,0.49880,0.00000,0.00000,0.34710,0.40470,0.00000,0.00000,0.00000,0.38570,0.38570,0.00000,0.00000,0.45740,0.44840,0.00000,0.00000,0.41430,0.42190,0.00000,0.00000,0.00000,0.65660,0.65660,0.52760,0.52760,0.47670,0.00000,0.00000,0.00000,0.33970,0.00000,0.37610,0.34550,0.45140,0.35500,0.35880,0.44870,0.40230,0.94780,0.94780,0.41040,0.41040,0.00000,0.38680,0.48460,0.58120,0.75680,0.75410,0.36390,0.00000,0.00000,0.38080,0.76420,0.00000,0.00000,0.00000,0.00000,0.64560,0.43680,0.00000,0.34370,0.46090,0.43880,0.75680,0.00000,0.00000,0.00000,0.00000,0.70280,0.40190,0.41450,0.76410,0.37010,0.00000,0.00000,0.00000,0.00000,0.35880,0.35880,0.00000,0.00000,0.00000,0.55540,0.56070,0.56070,0.55540,0.56070,0.56030,0.56030,0.56070,0.56070,0.33080,0.36430,0.63560,0.63560,0.44190,0.40470,0.38450,0.00000,0.00000,0.72590,0.00000,0.68850,0.00000,0.32550,0.32550,0.00000,0.00000,0.35900,0.00000,0.00000,0.85490,0.72850,0.00000,0.48020,0.00000
query__1E51,query_target,1E51,0.61250,1.00000,0.00000,0.00000,0.68060,0.00000,0.00000,0.43430,0.61600,0.00000,0.48500,0.00000,0.00000,0.00000,0.41720,0.00000,0.33790,0.00000,0.33040,0.38710,0.39340,0.42130,0.31570,0.37230,0.35980,0.44200,0.32060,0.39960,0.00000,0.00000,0.00000,0.00000,0.00000,0.40000,0.38470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35590,0.00000,0.00000,0.00000,0.46550,0.46550,0.55620,0.55620,0.00000,0.43470,0.43760,0.31090,0.00000,0.29950,0.30640,0.42730,0.44760,0.44020,0.39940,0.00000,0.00000,0.56740,0.56740,0.00000,0.00000,0.00000,0.00000,0.00000,0.39880,0.43950,0.53400,0.00000,0.00000,0.00000,0.00000,0.56010,0.00000,0.00000,0.00000,0.36840,0.41580,0.00000,0.37200,0.00000,0.36780,0.36940,0.47660,0.00000,0.00000,0.34810,0.33330,0.56850,0.35930,0.38190,0.49820,0.00000,0.28690,0.28690,0.26770,0.26770,0.27160,0.27160,0.27400,0.38450,0.00000,0.74080,0.63700,0.63700,0.73450,0.73650,0.73830,0.73830,0.63770,0.63770,0.00000,0.42900,0.41120,0.41120,0.36040,0.33020,0.34620,0.00000,0.00000,0.52310,0.49540,0.44240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.51670,0.53690,0.00000,0.44830,0.00000
query__1F8A,query_target,1F8A,0.00000,0.00000,1.00000,0.00000,0.31570,0.00000,0.00000,0.00000,0.00000,0.33050,0.37110,0.00000,0.40140,0.42760,0.00000,0.00000,0.00000,0.47360,0.33260,0.38660,0.00000,0.00000,0.00000,0.00000,0.00000,0.37530,0.54670,0.00000,0.33850,0.00000,0.00000,0.29640,0.38280,0.00000,0.00000,0.00000,0.00000,0.00000,0.34290,0.00000,0.00000,0.00000,0.35970,0.35970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.41240,0.00000,0.00000,0.00000,0.41770,0.41050,0.00000,0.31430,0.43730,0.00000,0.00000,0.00000,0.00000,0.00000,0.33480,0.33480,0.47510,0.00000,0.00000,0.43620,0.41410,0.41360,0.41360,0.00000,0.00000,0.00000,0.00000,0.00000,0.43450,0.00000,0.00000,0.00000,0.00000,0.39970,0.00000,0.00000,0.47200,0.00000,0.00000,0.31680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35460,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.43260,0.00000
query__1FB1,query_target,1FB1,0.46030,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.48790,0.44720,0.47050,0.00000,0.40060,0.36150,0.52260,0.28110,0.40750,0.36240,0.35740,0.39680,0.34020,0.00000,0.47330,0.36290,0.41850,0.56130,0.38520,0.34980,0.00000,0.38470,0.42610,0.45010,0.44470,0.38360,0.00000,0.40800,0.42230,0.42230,0.46010,0.45660,0.39670,0.37010,0.00000,0.00000,0.00000,0.00000,0.45530,0.33950,0.33950,0.40110,0.40110,0.39600,0.39600,0.43950,0.00000,0.31380,0.00000,0.00000,0.00000,0.44480,0.47280,0.47610,0.47530,0.00000,0.42190,0.00000,0.47840,0.47840,0.35840,0.35840,0.35240,0.52270,0.52820,0.40110,0.38340,0.38840,0.44020,0.43500,0.43300,0.43360,0.36790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39080,0.46560,0.47030,0.34810,0.51400,0.00000,0.00000,0.00000,0.33870,0.33560,0.36340,0.38990,0.37920,0.35660,0.35660,0.36780,0.36780,0.36910,0.36910,0.37040,0.38610,0.33880,0.42290,0.41900,0.41900,0.42290,0.41900,0.42290,0.42290,0.41870,0.41870,0.36670,0.41950,0.00000,0.00000,0.37890,0.38010,0.37130,0.38200,0.47960,0.35310,0.00000,0.34380,0.00000,0.00000,0.00000,0.00000,0.00000,0.48030,0.51080,0.35940,0.00000,0.34410,0.48970,0.39710,0.37450
query__1HTI,query_target,1HTI,0.54520,0.68060,0.31570,0.00000,1.00000,0.00000,0.00000,0.40620,0.43130,0.00000,0.47200,0.00000,0.40560,0.00000,0.43420,0.00000,0.35890,0.39520,0.33400,0.00000,0.37030,0.36490,0.00000,0.00000,0.39480,0.44350,0.00000,0.38370,0.00000,0.00000,0.00000,0.00000,0.00000,0.37720,0.41000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37580,0.41350,0.00000,0.00000,0.00000,0.47110,0.47110,0.52560,0.52560,0.00000,0.44560,0.45670,0.00000,0.00000,0.00000,0.31730,0.47100,0.47100,0.47100,0.00000,0.00000,0.00000,0.55290,0.55290,0.42520,0.42520,0.00000,0.00000,0.00000,0.40570,0.46950,0.50870,0.00000,0.00000,0.00000,0.00000,0.43690,0.00000,0.26790,0.26790,0.38160,0.47440,0.00000,0.00000,0.00000,0.32720,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.57270,0.38800,0.38750,0.47490,0.00000,0.00000,0.00000,0.33360,0.33360,0.00000,0.00000,0.33970,0.42130,0.00000,0.68390,0.69130,0.69130,0.63540,0.64540,0.65210,0.65210,0.69540,0.69540,0.00000,0.00000,0.45110,0.45110,0.00000,0.00000,0.00000,0.00000,0.00000,0.53160,0.35390,0.45380,0.00000,0.46640,0.46640,0.43290,0.43290,0.00000,0.00000,0.34590,0.51090,0.55300,0.00000,0.48630,0.00000
query__1HVY,query_target,1HVY,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.38880,0.00000,0.00000,0.00000,0.42500,0.00000,0.00000,0.00000,0.00000,0.38090,0.37090,0.35820,0.30740,0.38570,0.34030,0.00000,0.38290,0.37500,0.00000,0.35890,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.49500,0.38820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36850,0.36850,0.00000,0.00000,0.39490,0.39490,0.00000,0.00000,0.00000,0.37300,0.30590,0.00000,0.00000,0.00000,0.00000,0.39810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37380,0.49720,0.34870,0.00000,0.00000,0.00000,0.40670,0.37570,0.37570,0.00000,0.00000,0.00000,0.00000,0.00000,0.39230,0.44920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37550,0.00000,0.34430,0.34430,0.33870,0.33870,0.34300,0.34300,0.33620,0.36090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35090,0.35090,0.00000,0.40430,0.38670,0.38670,0.36730,0.30000,0.34390,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.43330,0.43330,0.43190,0.43190,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
query__1LDJ,query_target,1LDJ,0.41340,0.00000,0.00000,0.00000,0.00000,0.38880,1.00000,0.00000,0.00000,0.00000,0.00000,0.45460,0.45270,0.00000,0.36330,0.51420,0.32120,0.00000,0.00000,0.25680,0.35500,0.00000,0.26270,0.30840,0.23180,0.34510,0.00000,0.00000,0.43910,0.00000,0.00000,0.00000,0.37390,0.29220,0.00000,0.00000,0.29010,0.29010,0.00000,0.00000,0.44300,0.00000,0.51720,0.51720,0.00000,0.00000,0.37040,0.00000,0.00000,0.36100,0.36100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.48220,0.35090,0.00000,0.00000,0.46140,0.00000,0.00000,0.37800,0.37800,0.40080,0.40080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39350,0.35560,0.35560,0.00000,0.00000,0.44630,0.54150,0.00000,0.00000,0.00000,0.00000,0.98470,0.98380,0.39950,0.39520,0.47380,0.00000,0.00000,0.49170,0.00000,0.34400,0.34400,0.35240,0.35240,0.45140,0.45140,0.42470,0.32450,0.00000,0.32830,0.34630,0.34630,0.32830,0.36360,0.31910,0.31910,0.32290,0.32290,0.00000,0.44290,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.43740,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31020,0.00000,0.39920,0.00000,0.37540,0.00000
query__1OU5,query_target,1OU5,0.42910,0.43430,0.00000,0.00000,0.40620,0.00000,0.00000,1.00000,0.42640,0.00000,0.49410,0.00000,0.32920,0.00000,0.36560,0.40710,0.31730,0.00000,0.00000,0.25900,0.32160,0.00000,0.32250,0.47330,0.34600,0.36010,0.00000,0.00000,0.38780,0.30140,0.29170,0.33920,0.00000,0.41160,0.00000,0.29070,0.40890,0.40890,0.00000,0.32950,0.00000,0.00000,0.39250,0.39250,0.00000,0.00000,0.24150,0.00000,0.00000,0.39650,0.39650,0.00000,0.00000,0.32920,0.00000,0.00000,0.30710,0.31170,0.24830,0.34270,0.00000,0.40740,0.00000,0.36130,0.34290,0.36760,0.44790,0.44790,0.43130,0.43130,0.28340,0.35470,0.40340,0.35990,0.35630,0.37140,0.00000,0.00000,0.00000,0.41490,0.33130,0.30480,0.27580,0.27580,0.00000,0.36930,0.39180,0.35010,0.30470,0.28880,0.29220,0.36550,0.60280,0.50070,0.37400,0.30780,0.40130,0.00000,0.00000,0.35530,0.30670,0.33460,0.33460,0.33120,0.33120,0.33250,0.33250,0.31590,0.42070,0.00000,0.00000,0.35270,0.35270,0.00000,0.00000,0.00000,0.00000,0.34190,0.34190,0.00000,0.46000,0.33470,0.33470,0.38470,0.36520,0.36760,0.29610,0.00000,0.43050,0.00000,0.00000,0.00000,0.39890,0.39890,0.39390,0.39390,0.00000,0.35270,0.00000,0.00000,0.42660,0.46090,0.31050,0.30910
query__1P9O,query_target,1P9O,0.00000,0.61600,0.00000,0.48790,0.43130,0.00000,0.00000,0.42640,1.00000,0.00000,0.00000,0.30600,0.31170,0.32270,0.48280,0.43860,0.40740,0.35490,0.38230,0.30350,0.46190,0.57200,0.46630,0.00000,0.44450,0.32040,0.41910,0.49100,0.00000,0.00000,0.34860,0.38420,0.00000,0.34110,0.33750,0.00000,0.00000,0.00000,0.00000,0.39640,0.00000,0.00000,0.00000,0.00000,0.32660,0.35720,0.33380,0.00000,0.00000,0.50680,0.50680,0.53910,0.53910,0.00000,0.56620,0.37990,0.51620,0.32900,0.00000,0.31480,0.45850,0.45850,0.45850,0.31750,0.00000,0.00000,0.57810,0.57810,0.46620,0.46620,0.36220,0.30680,0.30680,0.43890,0.00000,0.52950,0.34460,0.00000,0.00000,0.00000,0.44900,0.00000,0.00000,0.00000,0.36920,0.00000,0.39560,0.32280,0.00000,0.37620,0.37890,0.32320,0.00000,0.40100,0.00000,0.00000,0.57940,0.46350,0.44760,0.31130,0.00000,0.29930,0.29930,0.29600,0.29600,0.32440,0.32440,0.31680,0.00000,0.00000,0.43550,0.43480,0.43480,0.43550,0.43480,0.43520,0.43520,0.43200,0.43200,0.00000,0.49010,0.37120,0.35220,0.35190,0.36120,0.29700,0.36590,0.00000,0.45150,0.45160,0.59560,0.40270,0.38330,0.38330,0.38680,0.38680,0.34440,0.39300,0.25120,0.00000,0.45090,0.42810,0.39220,0.26640
query__1Q5H,query_target,1Q5H,0.00000,0.00000,0.33050,0.44720,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.52010,0.00000,0.50670,0.00000,0.00000,0.45110,0.42050,0.00000,0.00000,0.00000,0.00000,0.37810,0.46880,0.43360,0.37250,0.00000,0.52570,0.00000,0.50190,0.53270,0.53420,0.53330,0.49040,0.54760,0.00000,0.51870,0.45860,0.45860,0.49170,0.54860,0.41540,0.41300,0.00000,0.00000,0.00000,0.00000,0.53860,0.50100,0.50100,0.00000,0.00000,0.00000,0.00000,0.50360,0.00000,0.00000,0.36880,0.39980,0.00000,0.48250,0.50070,0.48230,0.48160,0.00000,0.49660,0.51850,0.00000,0.00000,0.00000,0.00000,0.54610,0.48200,0.48540,0.00000,0.35690,0.39520,0.32180,0.33950,0.39180,0.34150,0.38910,0.49520,0.00000,0.00000,0.00000,0.49180,0.00000,0.00000,0.45760,0.54900,0.53240,0.37080,0.50490,0.00000,0.00000,0.00000,0.00000,0.30980,0.31930,0.00000,0.50770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.53310,0.50160,0.36830,0.38210,0.38210,0.36830,0.36320,0.38090,0.38090,0.39630,0.39630,0.48410,0.41370,0.47590,0.48040,0.43000,0.39510,0.43050,0.52900,0.39870,0.36440,0.00000,0.36810,0.00000,0.00000,0.00000,0.00000,0.00000,0.43410,0.48030,0.00000,0.00000,0.34230,0.00000,0.47960,0.49810
