node_id,node_type,label,x,y,max_similarity
query__1A4R,query_target,1A4R,-0.087308,-0.253600,1.00000
query__1E51,query_target,1E51,-0.145873,0.589810,1.00000
query__1F8A,query_target,1F8A,-0.007716,-0.012534,1.00000
query__1FB1,query_target,1FB1,-0.019250,-0.025845,1.00000
query__1HTI,query_target,1HTI,-0.103428,0.394655,1.00000
query__1HVY,query_target,1HVY,-0.012951,-0.015838,1.00000
query__1LDJ,query_target,1LDJ,-0.027666,-0.050968,1.00000
query__1OU5,query_target,1OU5,-0.007721,-0.015556,1.00000
query__1P9O,query_target,1P9O,-0.050985,-0.136489,1.00000
query__1Q5H,query_target,1Q5H,-0.016581,-0.023754,1.00000
query__1Z5S,query_target,1Z5S,-0.033095,-0.060897,1.00000
query__2J91,query_target,2J91,-0.013457,-0.018996,1.00000
query__2OJW,query_target,2OJW,-0.012574,-0.015425,1.00000
query__2R3V,query_target,2R3V,-0.007398,-0.014269,1.00000
query__2VE7,query_target,2VE7,-0.017947,-0.027050,1.00000
query__2WFD,query_target,2WFD,-0.010610,-0.011642,1.00000
query__3BJU,query_target,3BJU,-0.038880,-0.041086,1.00000
query__3D4J,query_target,3D4J,-0.009790,-0.011755,1.00000
query__3ECR,query_target,3ECR,-0.008951,-0.014238,1.00000
query__3JUS,query_target,3JUS,-0.013634,-0.019339,1.00000
query__3R2W,query_target,3R2W,-0.021416,-0.030811,1.00000
query__3S4Y,query_target,3S4Y,-0.044516,-0.108778,1.00000
query__3VBB,query_target,3VBB,-0.012870,-0.018753,1.00000
query__4JSN,query_target,4JSN,0.784977,0.106123,1.00000
query__4R3Z,query_target,4R3Z,-0.014013,-0.020366,1.00000
query__6C90,query_target,6C90,-0.024581,0.064510,1.00000
query__6GWJ,query_target,6GWJ,-0.013725,-0.016117,1.00000
query__6HKW,query_target,6HKW,-0.019478,-0.029249,1.00000
reference__1BVL-ASU0-VH_C-VL_D-Ag_A,reference_antigen,1BVL-ASU0-VH_C-VL_D-Ag_A,-0.011216,-0.015635,1.00000
reference__1CT8-ASU0-VH_B-VL_A-Ag_C,reference_antigen,1CT8-ASU0-VH_B-VL_A-Ag_C,-0.011920,0.004682,1.00000
reference__1MWA-ASU0-VH_B-VL_A-Ag_H_I,reference_antigen,1MWA-ASU0-VH_B-VL_A-Ag_H_I,-0.009513,-0.012786,1.00000
reference__2IAM-ASU0-VH_D-VL_C-Ag_A_B,reference_antigen,2IAM-ASU0-VH_D-VL_C-Ag_A_B,-0.009047,-0.012237,1.00000
reference__2OTU-ASU0-VH_D-VL_C-Ag_G_H,reference_antigen,2OTU-ASU0-VH_D-VL_C-Ag_G_H,-0.009924,-0.013171,1.00000
reference__3G6J-ASU0-VH_H-VL_G-Ag_C,reference_antigen,3G6J-ASU0-VH_H-VL_G-Ag_C,-0.012057,-0.018103,1.00000
reference__3H3B-ASU0-VH_D-VL_D-Ag_A,reference_antigen,3H3B-ASU0-VH_D-VL_D-Ag_A,-0.010950,-0.015357,1.00000
reference__3LRS-ASU0-VH_E-VL_F-Ag_A_B_C,reference_antigen,3LRS-ASU0-VH_E-VL_F-Ag_A_B_C,-0.009261,-0.012132,1.00000
reference__3STB-ASU0-VHH_A-Ag_C,reference_antigen,3STB-ASU0-VHH_A-Ag_C,-0.023494,-0.020034,1.00000
