target,chosen_query_structure,best_hit,best_hit_antigen_name,best_hit_structure_identifier,tm_score,rank,notes
GTP cyclohydrolase 1,1FB1,7K7I-ASU0-VH_J-VL_K-Ag_B_E,,7K7I-ASU0-VH_J-VL_K-Ag_B_E,0.15159,1,Parsed from SNAC-DB Foldseek report.
GTP cyclohydrolase 1,1FB1,7K7I-ASU0-VH_P-VL_Q-Ag_C_D,,7K7I-ASU0-VH_P-VL_Q-Ag_C_D,0.14802,2,Parsed from SNAC-DB Foldseek report.
GTP cyclohydrolase 1,1FB1,7K7I-ASU0-VH_M-VL_N-Ag_A_C,,7K7I-ASU0-VH_M-VL_N-Ag_A_C,0.1475,3,Parsed from SNAC-DB Foldseek report.
GTP cyclohydrolase 1,1FB1,3STB-ASU0-VHH_A-Ag_C_D,,3STB-ASU0-VHH_A-Ag_C_D,0.13316,4,Parsed from SNAC-DB Foldseek report.
GTP cyclohydrolase 1,1FB1,3STB-ASU0-VHH_B-Ag_C_D,,3STB-ASU0-VHH_B-Ag_C_D,0.13316,5,Parsed from SNAC-DB Foldseek report.
"MTOR associated protein, LST8 homolog (S. cerevisiae)",4JSN,8ZBI-ASU0-VH_F-VL_F-Ag_B_C,,8ZBI-ASU0-VH_F-VL_F-Ag_B_C,0.57345,1,Parsed from SNAC-DB Foldseek report.
"MTOR associated protein, LST8 homolog (S. cerevisiae)",4JSN,7WU9-ASU0-VH_S-VL_S-Ag_A_B,,7WU9-ASU0-VH_S-VL_S-Ag_A_B,0.52901,2,Parsed from SNAC-DB Foldseek report.
"MTOR associated protein, LST8 homolog (S. cerevisiae)",4JSN,8I7W-ASU0-VH_E-VL_E-Ag_B_C,,8I7W-ASU0-VH_E-VL_E-Ag_B_C,0.50102,3,Parsed from SNAC-DB Foldseek report.
"MTOR associated protein, LST8 homolog (S. cerevisiae)",4JSN,8G2Y-ASU0-VHH_N-Ag_A_B,,8G2Y-ASU0-VHH_N-Ag_A_B,0.49727,4,Parsed from SNAC-DB Foldseek report.
"MTOR associated protein, LST8 homolog (S. cerevisiae)",4JSN,7EO4-ASU0-VH_E-VL_E-Ag_B_C,,7EO4-ASU0-VH_E-VL_E-Ag_B_C,0.49611,5,Parsed from SNAC-DB Foldseek report.
"NUF2, NDC80 kinetochore complex component",2VE7,5TD8-ASU0-VHH_E-Ag_A_C,,5TD8-ASU0-VHH_E-Ag_A_C,0.30054,1,Parsed from SNAC-DB Foldseek report.
"NUF2, NDC80 kinetochore complex component",2VE7,9E3L-ASU0-VH_G-VL_H-Ag_E_F,,9E3L-ASU0-VH_G-VL_H-Ag_E_F,0.13571,2,Parsed from SNAC-DB Foldseek report.
"NUF2, NDC80 kinetochore complex component",2VE7,9BIF-ASU0-VH_G-VL_I-Ag_E_F,,9BIF-ASU0-VH_G-VL_I-Ag_E_F,0.13544,3,Parsed from SNAC-DB Foldseek report.
"NUF2, NDC80 kinetochore complex component",2VE7,9BIF-ASU0-VH_J-VL_K-Ag_E_F,,9BIF-ASU0-VH_J-VL_K-Ag_E_F,0.13544,4,Parsed from SNAC-DB Foldseek report.
"NUF2, NDC80 kinetochore complex component",2VE7,8ZRE-ASU0-VH_h-VL_l-Ag_A_B,,8ZRE-ASU0-VH_h-VL_l-Ag_A_B,0.13523,5,Parsed from SNAC-DB Foldseek report.
O-sialoglycoprotein endopeptidase,6GWJ,6GKD-ASU0-VHH_G-Ag_F_T,,6GKD-ASU0-VHH_G-Ag_F_T,0.14203,1,Parsed from SNAC-DB Foldseek report.
O-sialoglycoprotein endopeptidase,6GWJ,6GKD-ASU0-VHH_T-Ag_F_P_R,,6GKD-ASU0-VHH_T-Ag_F_P_R,0.11424,2,Parsed from SNAC-DB Foldseek report.
O-sialoglycoprotein endopeptidase,6GWJ,8TJN-ASU0-VH_C-VL_D-Ag_A_B_E_F,,8TJN-ASU0-VH_C-VL_D-Ag_A_B_E_F,0.11016,3,Parsed from SNAC-DB Foldseek report.
O-sialoglycoprotein endopeptidase,6GWJ,8TJN-ASU0-VH_E-VL_F-Ag_A_B_C_D,,8TJN-ASU0-VH_E-VL_F-Ag_A_B_C_D,0.11015,4,Parsed from SNAC-DB Foldseek report.
O-sialoglycoprotein endopeptidase,6GWJ,6GKD-ASU0-VHH_H-Ag_F_I_M,,6GKD-ASU0-VHH_H-Ag_F_I_M,0.10879,5,Parsed from SNAC-DB Foldseek report.
Ran GTPase activating protein 1,1Z5S,8CAF-ASU0-VH_B-VL_A-Ag_F_H,,8CAF-ASU0-VH_B-VL_A-Ag_F_H,0.46076,1,Parsed from SNAC-DB Foldseek report.
Ran GTPase activating protein 1,1Z5S,8CAF-ASU0-VH_D-VL_C-Ag_E_G,,8CAF-ASU0-VH_D-VL_C-Ag_E_G,0.4171,2,Parsed from SNAC-DB Foldseek report.
Ran GTPase activating protein 1,1Z5S,3G6J-ASU0-VH_H-VL_G-Ag_C_D,,3G6J-ASU0-VH_H-VL_G-Ag_C_D,0.10156,3,Parsed from SNAC-DB Foldseek report.
Ran GTPase activating protein 1,1Z5S,8TMQ-ASU0-VH_H-VL_L-Ag_A_B,,8TMQ-ASU0-VH_H-VL_L-Ag_A_B,0.09069,4,Parsed from SNAC-DB Foldseek report.
Ran GTPase activating protein 1,1Z5S,4C56-ASU0-VH_H-VL_G-Ag_E_I_K,,4C56-ASU0-VH_H-VL_G-Ag_E_I_K,0.09061,5,Parsed from SNAC-DB Foldseek report.
Thymidylate synthase,1HVY,8J7U-ASU0-VH_E-VL_C-Ag_A_B,,8J7U-ASU0-VH_E-VL_C-Ag_A_B,0.08797,1,Parsed from SNAC-DB Foldseek report.
Thymidylate synthase,1HVY,8J7U-ASU0-VH_F-VL_D-Ag_A_B,,8J7U-ASU0-VH_F-VL_D-Ag_A_B,0.08797,2,Parsed from SNAC-DB Foldseek report.
Thymidylate synthase,1HVY,8J7V-ASU0-VH_E-VL_C-Ag_A_B,,8J7V-ASU0-VH_E-VL_C-Ag_A_B,0.08598,3,Parsed from SNAC-DB Foldseek report.
Thymidylate synthase,1HVY,8J7V-ASU0-VH_F-VL_D-Ag_A_B,,8J7V-ASU0-VH_F-VL_D-Ag_A_B,0.08598,4,Parsed from SNAC-DB Foldseek report.
Thymidylate synthase,1HVY,8J80-ASU0-VH_E-VL_C-Ag_A_B,,8J80-ASU0-VH_E-VL_C-Ag_A_B,0.08271,5,Parsed from SNAC-DB Foldseek report.
UDP-glucose pyrophosphorylase 2,3R2W,5BOP-ASU0-VHH_A-Ag_B_D,,5BOP-ASU0-VHH_A-Ag_B_D,0.19294,1,Parsed from SNAC-DB Foldseek report.
UDP-glucose pyrophosphorylase 2,3R2W,5BOP-ASU0-VHH_C-Ag_B_D,,5BOP-ASU0-VHH_C-Ag_B_D,0.19294,2,Parsed from SNAC-DB Foldseek report.
UDP-glucose pyrophosphorylase 2,3R2W,8YJ7-ASU0-VH_E-VL_E-Ag_B_C,,8YJ7-ASU0-VH_E-VL_E-Ag_B_C,0.11657,3,Parsed from SNAC-DB Foldseek report.
UDP-glucose pyrophosphorylase 2,3R2W,8Y62-ASU0-VH_E-VL_E-Ag_A_B,,8Y62-ASU0-VH_E-VL_E-Ag_A_B,0.10692,4,Parsed from SNAC-DB Foldseek report.
UDP-glucose pyrophosphorylase 2,3R2W,9JKS-ASU0-VH_S-VL_S-Ag_B_C,,9JKS-ASU0-VH_S-VL_S-Ag_B_C,0.10083,5,Parsed from SNAC-DB Foldseek report.
adenylosuccinate lyase,2J91,8DJM-ASU0-VH_H-VL_L-Ag_A_B,,8DJM-ASU0-VH_H-VL_L-Ag_A_B,0.13754,1,Parsed from SNAC-DB Foldseek report.
adenylosuccinate lyase,2J91,7QHA-ASU0-VHH_C-Ag_A_B,,7QHA-ASU0-VHH_C-Ag_A_B,0.11692,2,Parsed from SNAC-DB Foldseek report.
adenylosuccinate lyase,2J91,6DO1-ASU0-VHH_E-Ag_A_B_C,,6DO1-ASU0-VHH_E-Ag_A_B_C,0.1056,3,Parsed from SNAC-DB Foldseek report.
adenylosuccinate lyase,2J91,7LJB-ASU0-VH_E-VL_D-Ag_A_B,,7LJB-ASU0-VH_E-VL_D-Ag_A_B,0.10387,4,Parsed from SNAC-DB Foldseek report.
adenylosuccinate lyase,2J91,7LJB-ASU0-VH_G-VL_F-Ag_A_B,,7LJB-ASU0-VH_G-VL_F-Ag_A_B,0.10387,5,Parsed from SNAC-DB Foldseek report.
aminolevulinate dehydratase,1E51,8RTF-ASU2-VHH_G-Ag_A_F,,8RTF-ASU2-VHH_G-Ag_A_F,0.37865,1,Parsed from SNAC-DB Foldseek report.
aminolevulinate dehydratase,1E51,8RTF-ASU2-VHH_K-Ag_C_E,,8RTF-ASU2-VHH_K-Ag_C_E,0.37865,2,Parsed from SNAC-DB Foldseek report.
aminolevulinate dehydratase,1E51,8RTF-ASU0-VHH_I-Ag_C_D,,8RTF-ASU0-VHH_I-Ag_C_D,0.36488,3,Parsed from SNAC-DB Foldseek report.
aminolevulinate dehydratase,1E51,8RTF-ASU0-VHH_J-Ag_C_D,,8RTF-ASU0-VHH_J-Ag_C_D,0.36488,4,Parsed from SNAC-DB Foldseek report.
aminolevulinate dehydratase,1E51,8RVR-ASU0-VHH_G-Ag_A_B,,8RVR-ASU0-VHH_G-Ag_A_B,0.35703,5,Parsed from SNAC-DB Foldseek report.
cell division cycle 42,1A4R,6SGE-ASU0-VHH_B-Ag_A_C,,6SGE-ASU0-VHH_B-Ag_A_C,0.48236,1,Parsed from SNAC-DB Foldseek report.
cell division cycle 42,1A4R,6SGE-ASU0-VHH_D-Ag_A_C,,6SGE-ASU0-VHH_D-Ag_A_C,0.48236,2,Parsed from SNAC-DB Foldseek report.
cell division cycle 42,1A4R,9I5E-ASU0-VHH_N-Ag_A_B,,9I5E-ASU0-VHH_N-Ag_A_B,0.3877,3,Parsed from SNAC-DB Foldseek report.
cell division cycle 42,1A4R,8RVR-ASU0-VHH_I-Ag_C_D,,8RVR-ASU0-VHH_I-Ag_C_D,0.14685,4,Parsed from SNAC-DB Foldseek report.
cell division cycle 42,1A4R,8RVR-ASU0-VHH_J-Ag_C_D,,8RVR-ASU0-VHH_J-Ag_C_D,0.14685,5,Parsed from SNAC-DB Foldseek report.
"cytochrome P450, family 51, subfamily A, polypeptide 1",3JUS,4DKF-ASU0-VH_H-VL_L-Ag_A_B,,4DKF-ASU0-VH_H-VL_L-Ag_A_B,0.13097,1,Parsed from SNAC-DB Foldseek report.
"cytochrome P450, family 51, subfamily A, polypeptide 1",3JUS,4DKF-ASU0-VH_I-VL_M-Ag_A_B,,4DKF-ASU0-VH_I-VL_M-Ag_A_B,0.13097,2,Parsed from SNAC-DB Foldseek report.
"cytochrome P450, family 51, subfamily A, polypeptide 1",3JUS,4DKF-ASU2-VH_G-VL_J-Ag_C_D,,4DKF-ASU2-VH_G-VL_J-Ag_C_D,0.13097,3,Parsed from SNAC-DB Foldseek report.
"cytochrome P450, family 51, subfamily A, polypeptide 1",3JUS,7QHA-ASU0-VHH_C-Ag_A_B,,7QHA-ASU0-VHH_C-Ag_A_B,0.1001,4,Parsed from SNAC-DB Foldseek report.
"cytochrome P450, family 51, subfamily A, polypeptide 1",3JUS,6OAO-ASU0-VH_J-VL_J-Ag_I_K,,6OAO-ASU0-VH_J-VL_J-Ag_I_K,0.09477,5,Parsed from SNAC-DB Foldseek report.
deoxyuridine triphosphatase,1Q5H,3ZHD-ASU1-VHH_E-Ag_C_D,,3ZHD-ASU1-VHH_E-Ag_C_D,0.16115,1,Parsed from SNAC-DB Foldseek report.
deoxyuridine triphosphatase,1Q5H,3ZHD-ASU1-VHH_F-Ag_A_B,,3ZHD-ASU1-VHH_F-Ag_A_B,0.15934,2,Parsed from SNAC-DB Foldseek report.
deoxyuridine triphosphatase,1Q5H,6OL7-ASU0-VH_K-VL_J-Ag_F_I,,6OL7-ASU0-VH_K-VL_J-Ag_F_I,0.15851,3,Parsed from SNAC-DB Foldseek report.
deoxyuridine triphosphatase,1Q5H,1BVL-ASU0-VH_C-VL_D-Ag_A_B,,1BVL-ASU0-VH_C-VL_D-Ag_A_B,0.15604,4,Parsed from SNAC-DB Foldseek report.
deoxyuridine triphosphatase,1Q5H,5OCL-ASU0-VHH_G-Ag_F_H,,5OCL-ASU0-VHH_G-Ag_F_H,0.15468,5,Parsed from SNAC-DB Foldseek report.
glutamate-ammonia ligase,2OJW,8IM1-ASU0-VHH_H-Ag_C_G,,8IM1-ASU0-VHH_H-Ag_C_G,0.09487,1,Parsed from SNAC-DB Foldseek report.
glutamate-ammonia ligase,2OJW,8UIO-ASU0-VH_H-VL_L-Ag_A_B,,8UIO-ASU0-VH_H-VL_L-Ag_A_B,0.08719,2,Parsed from SNAC-DB Foldseek report.
glutamate-ammonia ligase,2OJW,9PXU-ASU0-VHH_K-Ag_H_L,,9PXU-ASU0-VHH_K-Ag_H_L,0.08532,3,Parsed from SNAC-DB Foldseek report.
glutamate-ammonia ligase,2OJW,7SAJ-ASU0-VHH_J-Ag_E_I,,7SAJ-ASU0-VHH_J-Ag_E_I,0.07721,4,Parsed from SNAC-DB Foldseek report.
