node_id,node_type,label,x,y,max_similarity
query__1A4R,query_target,1A4R,7.211256,-0.501493,1.00000
query__1E51,query_target,1E51,4.952478,-0.992813,1.00000
query__1F8A,query_target,1F8A,8.990484,4.395886,1.00000
query__1FB1,query_target,1FB1,10.188608,4.680656,1.00000
query__1HTI,query_target,1HTI,3.901779,-0.750292,1.00000
query__1HVY,query_target,1HVY,10.828959,5.147270,1.00000
query__1LDJ,query_target,1LDJ,8.956569,3.580486,1.00000
query__1OU5,query_target,1OU5,8.974056,2.622328,1.00000
query__1P9O,query_target,1P9O,6.375361,-0.672431,1.00000
query__1Q5H,query_target,1Q5H,10.102560,3.184526,1.00000
query__1Z5S,query_target,1Z5S,9.108261,3.120634,1.00000
query__2J91,query_target,2J91,10.453949,6.251072,1.00000
query__2OJW,query_target,2OJW,9.678143,3.621449,1.00000
query__2R3V,query_target,2R3V,8.742698,4.952481,1.00000
query__2VE7,query_target,2VE7,9.586596,6.321484,1.00000
query__2WFD,query_target,2WFD,8.651308,3.417608,1.00000
query__3BJU,query_target,3BJU,7.355186,4.480506,1.00000
query__3D4J,query_target,3D4J,8.505981,4.740755,1.00000
query__3ECR,query_target,3ECR,8.436631,4.438798,1.00000
query__3JUS,query_target,3JUS,9.180062,6.413084,1.00000
query__3R2W,query_target,3R2W,8.350511,3.376045,1.00000
query__3S4Y,query_target,3S4Y,5.278271,-0.322999,1.00000
query__3VBB,query_target,3VBB,8.894845,6.756772,1.00000
query__4JSN,query_target,4JSN,8.693969,-0.151364,1.00000
query__4R3Z,query_target,4R3Z,9.437711,5.128874,1.00000
query__6C90,query_target,6C90,9.634185,4.509652,1.00000
query__6GWJ,query_target,6GWJ,8.789435,4.143619,1.00000
query__6HKW,query_target,6HKW,5.757521,1.530382,1.00000
reference__1BVL-ASU0-VH_C-VL_D-Ag_A_B,reference_antigen,1BVL-ASU0-VH_C-VL_D-Ag_A_B,11.656219,2.921229,1.00000
reference__1CT8-ASU0-VH_B-VL_A-Ag_C_D,reference_antigen,1CT8-ASU0-VH_B-VL_A-Ag_C_D,11.371614,3.082562,1.00000
reference__1MWA-ASU0-VH_B-VL_A-Ag_H_I_P,reference_antigen,1MWA-ASU0-VH_B-VL_A-Ag_H_I_P,10.787177,2.879709,1.00000
reference__2IAM-ASU0-VH_D-VL_C-Ag_A_B_P,reference_antigen,2IAM-ASU0-VH_D-VL_C-Ag_A_B_P,10.334130,2.541172,1.00000
reference__2OTU-ASU0-VH_D-VL_C-Ag_G_H_Q,reference_antigen,2OTU-ASU0-VH_D-VL_C-Ag_G_H_Q,11.855559,2.768845,1.00000
reference__3G6J-ASU0-VH_H-VL_G-Ag_C_D,reference_antigen,3G6J-ASU0-VH_H-VL_G-Ag_C_D,10.507486,3.737931,1.00000
reference__3H3B-ASU0-VH_D-VL_D-Ag_A_B,reference_antigen,3H3B-ASU0-VH_D-VL_D-Ag_A_B,5.377932,1.548398,1.00000
reference__3LRS-ASU0-VH_E-VL_F-Ag_A_B_C_D,reference_antigen,3LRS-ASU0-VH_E-VL_F-Ag_A_B_C_D,11.621315,2.981174,1.00000
reference__3STB-ASU0-VHH_A-Ag_C_D,reference_antigen,3STB-ASU0-VHH_A-Ag_C_D,7.002689,4.151906,1.00000
reference__3STB-ASU0-VHH_B-Ag_C_D,reference_antigen,3STB-ASU0-VHH_B-Ag_C_D,7.192496,4.208013,1.00000
reference__3ZHD-ASU1-VHH_F-Ag_A_B,reference_antigen,3ZHD-ASU1-VHH_F-Ag_A_B,12.272251,2.970155,1.00000
